id,name,brand,category,color,size,price,rating,stock,description,image_url
1,Classic Cotton T-Shirt,Nike,Clothing,Black,M,19.99,4.5,120,Soft cotton t-shirt for everyday wear,https://example.com/images/tshirt1.jpg
2,Running Shoes,Adidas,Footwear,Black,42,79.99,4.7,75,Lightweight running shoes with breathable mesh,https://example.com/images/shoes1.jpg
3,Slim Fit Jeans,Levis,Clothing,Blue,L,49.99,4.4,60,Comfortable slim fit denim jeans,https://example.com/images/jeans1.jpg
4,Wireless Headphones,Sony,Electronics,Black,Standard,129.99,4.8,40,Noise cancelling over-ear headphones,https://example.com/images/headphones1.jpg
5,Smart Watch,Apple,Electronics,Silver,44mm,299.99,4.9,25,Feature-rich smartwatch with fitness tracking,https://example.com/images/watch1.jpg
6,Leather Wallet,Fossil,Accessories,Brown,Standard,39.99,4.3,90,Genuine leather wallet with multiple compartments,https://example.com/images/wallet1.jpg
7,Sports Jacket,Puma,Clothing,Red,XL,89.99,4.6,35,Water-resistant sports jacket for outdoor activities,https://example.com/images/jacket1.jpg
8,Backpack,Wildcraft,Bags,Green,25L,54.99,4.5,50,Durable backpack suitable for travel and college,https://example.com/images/backpack1.jpg
9,Sunglasses,RayBan,Accessories,Black,Standard,149.99,4.7,20,Stylish UV-protected sunglasses,https://example.com/images/sunglasses1.jpg
10,Gaming Mouse,Logitech,Electronics,Black,Standard,59.99,4.8,65,High precision wireless gaming mouse,https://example.com/images/mouse1.jpg
11,Old Skool,Vans,Shoes,Navy/White,43,66.81,4,79,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_navy_white.jpg
12,Bomber Jacket,Alpha Industries,Jackets,Olive,XL,103.24,4.1,11,Classic MA-1 bomber jacket with ribbed collar,https://example.com/images/bomber_jacket_olive.jpg
13,Printed Band Tee,Pepe Jeans,T-Shirts,Black,M,18.42,5,72,Rock-inspired graphic tee with vintage print,https://example.com/images/printed_band_tee_black.jpg
14,Old Skool,Vans,Shoes,Black/White,39,58.63,4.6,140,Side-stripe skate shoe in suede and canvas,https://example.com/images/old_skool_black_white.jpg
15,Oversized Graphic Tee,H&M,T-Shirts,Olive,XL,21.6,4.7,25,Relaxed-fit graphic tee with bold print,https://example.com/images/oversized_graphic_tee_olive.jpg
16,Sherpa Lined Hoodie,Columbia,Hoodies,Cream,S,61.47,4.6,18,Cozy sherpa-lined hoodie for cold days,https://example.com/images/sherpa_lined_hoodie_cream.jpg
17,Tech Fleece Hoodie,Nike,Hoodies,Dark Grey,XL,84.97,3.9,94,Slim fit tech fleece hoodie with bonded fabric,https://example.com/images/tech_fleece_hoodie_dark_grey.jpg
18,Denim Trucker Jacket,Levi's,Jackets,Dark Wash,S,87.03,4.8,141,Classic denim trucker jacket with chest pockets,https://example.com/images/denim_trucker_jacket_dark_wash.jpg
19,Tote Bag,Longchamp,Bags,Red,L,59.01,3.9,24,Foldable nylon tote bag with leather handles,https://example.com/images/tote_bag_red.jpg
20,Slim Fit Hoodie,H&M,Hoodies,Olive,L,27.81,4.6,74,Slim cut jersey hoodie with adjustable drawstring,https://example.com/images/slim_fit_hoodie_olive.jpg
21,Chuck Taylor All Star,Converse,Shoes,Black,40,58.58,4.6,53,Classic high-top canvas sneaker,https://example.com/images/chuck_taylor_all_star_black.jpg
22,Rain Jacket,Patagonia,Jackets,Red,M,131.85,4.5,6,Waterproof rain jacket with taped seams and hood,https://example.com/images/rain_jacket_red.jpg
